Alias,Address,City,State,Zip,Lat,Lng,Time,Time_window_start,Time_window_end,
ToDelete - WAT4171 ~ Waters Edge Camp & Conference Center ~ REPID0400,4171 Woodland Dr,Howell,MI,48855,42.69349,-83.99937,30,8:00,17:00,
ToDelete - WMW-1CAFE217-L ~ CAFE 217 - LENA ~ REPID0400,6689 N LAKE ROAD,LENA,IL,61048,42.39655,-89.82864,30,8:00,17:00,
ToDelete - MIC1301 ~ Michael Book Country Club ~ REPID0400,1301 NW Michael Book Lane,McMinnville,OR,97128,45.22003937,-123.2138596,30,8:00,17:00,
ToDelete - HAM1801 ~ Hampton Inn - Snyder ~ REPID11,1801 E Roby Hwy,Snyder,TX,79549,32.70280075,-100.8796234,30,8:00,17:00,
ToDelete - MIC9416NME97L9 ~ Microtel Inn & Suites - Sweetwater ~ REPID11,9416 N Interstate 40,Sweetwater,TX,79556,32.42708588,-100.5857315,30,8:00,17:00,
ToDelete - LAQ1314PSDGSOB ~ La Quinta Inn #6651 ~ REPID11,1314 West I-20,Monahans,TX,79756,31.5979023,-102.8811951,30,8:00,17:00,
ToDelete - COM201G3VUGOP ~ Comfort Inn & Suites - Clovis ~ REPID11,201 Schepps Blvd,Clovis,NM,88101,34.39684296,-103.1677246,30,8:00,17:00,
ToDelete - AME30232QLBK54 ~ America's Best Value Inn - Odessa ~ REPID11,3023 E Business 20,Odessa,TX,79761,31.87031937,-102.3201599,30,8:00,17:00,
ToDelete - ALP24018UQQCSF ~ Alpine Classic Inn/Quality Inn ~ REPID11,2401 E Hwy 90,Alpine,TX,79830,30.23252869,-93.11408997,30,8:00,17:00,
ToDelete - COM3101KUJLZ5G ~ Comfort Suites - Fort Stockton ~ REPID11,3101 W Dickinson Blvd,Fort Stockton,TX,79735,30.89366722,-102.9139328,30,8:00,17:00,
ToDelete - HOM6004WHDZVBJ ~ Home2 Suites - Lubbock ~ REPID11,6004 Marsha Sharp Frwy,Lubbock,TX,79407,33.54179001,-101.958847,30,8:00,17:00,
ToDelete - HOM2569YS9EQ70 ~ Home2 Suites - San Angelo ~ REPID11,2569 Southwest Blvd,San Angelo,TX,76901,31.43992424,-100.4969177,30,8:00,17:00,
ToDelete - SPR57167ZYVWWM ~ Springhill Suites ~ REPID11,5716 Deauville Blvd,Midland,TX,79706,31.99302101,-102.1596832,30,8:00,17:00,
ToDelete - MCM4250VOY7W7X ~ MCM Elegant Abilene ~ REPID11,4250 Ridgemont Rd,Abilene,TX,79606,32.39940262,-99.76525116,30,8:00,17:00,
ToDelete - SUP30928MJGFJG ~ Super 8 Midland ~ REPID11,309 E. I-20,Midland,TX,79701,31.97503281,-102.0671387,30,8:00,17:00,
ToDelete - 333333GDB9WMO ~ 333 Restaurant & Saloon ~ REPID11,333 Rio Concho Dr,San Angelo,TX,76903,31.46162415,-100.4295349,30,8:00,17:00,
ToDelete - LEE1101H7IUBUF ~ Lee's Cafe ~ REPID11,1101 Main Ave J,Lubbock,TX,79401,33.58522415,-101.8470078,30,8:00,17:00,
ToDelete - WAG1016X3C8BFC ~ Wagon Wheel Bar B Que ~ REPID11,10161 W University  Blvd,Odessa,TX,79764,31.84128952,-102.4950027,30,8:00,17:00,
ToDelete - HAW5708PNEPWMH ~ Hawthorn Suites - Midland ~ REPID11,5708 Starboard Dr,Midland,TX,79706,31.96045685,-102.1472931,30,8:00,17:00,
ToDelete - SUP2912DSY1D15 ~ Super 8 - Clovis ~ REPID11,2912 Mabry Dr,Clovis,NM,88101,34.39587021,-103.1711731,30,8:00,17:00,
ToDelete - THE8013RW7SDH ~ The Republic Hotel ~ REPID11,801 East Second Street,Big Lake,TX,76932,31.19141769,-101.4571457,30,8:00,17:00,
ToDelete - LUB7006-5SJUDW9 ~ Lubbock Breakfast House University ~ REPID11,2422 19th St,Lubbock,Texas,79401,33.57824326,-101.869812,30,8:00,17:00,
ToDelete - HIL1301 ~ Hilton Garden Inn - Midland ~ REPID11,1301 N Loop 250 W,Midland,TX,79706-5720,31.99317,-102.15366,30,8:00,17:00,
ToDelete - BAY3510 ~ Baymont Inn & Suites - Hobbs ~ REPID11,3510 N Central Dr,Hobbs,NM,88240-1157,32.73857,-103.14936,30,8:00,17:00,
ToDelete - INN2021 ~ Inn of the Concho's ~ REPID11,2021 N Bryant Blvd,San Angelo,TX,76903-3745,31.47853,-100.45541,30,8:00,17:00,
ToDelete - FAI1350 ~ Fairfield Inn ~ REPID11,1350 W Joe Harvey Blvd,Hobbs,NM,88240-0804,32.74091,-103.15302,30,8:00,17:00,
ToDelete - TRA2207 ~ Travelodge - Pecos ~ REPID11,2207 W 3rd St,Pecos,TX,79772-2648,31.41853,-103.51733,30,8:00,17:00,
ToDelete - PLA4108 ~ Plaza Inn ~ REPID11,4108 North Big Spring St,Midland,TX,79705,32.03884,-102.08533,30,8:00,17:00,
ToDelete - MIC200 ~ Microtel Inn & Suites ~ REPID11,200 W. Longview Rd,Midland,TX,79701,31.97573,-102.07136,30,8:00,17:00,
ToDelete - COM2600 ~ Comfort Suites - Carlsbad ~ REPID11,2600 West Pierce,Carlsbad,NM,88220,32.4438,-104.26076,30,8:00,17:00,
ToDelete - BES4600 ~ Best Western Sante Fe ~ REPID11,4600 I-40 East,Amarillo,TX,79103,35.19185,-101.78158,30,8:00,17:00,
ToDelete - LOS2103 ~ Los Cerritos Mexican Kitchen ~ REPID11,2103 N Main St,Roswell,NM,88201,33.41836,-104.52272,30,8:00,17:00,
ToDelete - HOM7221 ~ Homewood Suites - Odessa ~ REPID11,7221 Tres Hermans Blvd,Odessa,TX,79765,31.90967,-102.29653,30,8:00,17:00,
ToDelete - LAQ4020 ~ La Quinta - Carlsbad ~ REPID11,4020 National Parks Hwy,Carlsbad,NM,88220,32.37145,-104.23174,30,8:00,17:00,
