id,address_id,address_1,address_2,address_alias,address_group,first_name,last_name,address_email,address_phone_number,cached_lat,cached_lng,curbside_lat,curbside_lng,address_city,address_state_id,address_country_id,address_zip,address_custom_data,schedule_blacklist,service_time,color,address_icon
,,"1235 Cherokee Rd, Alexander City, AL",,"Dollar General-Alexander City,AL",,,,,(256) 234-9012,-85.948343,32.930977,-85.948343,32.930977,,,,35010-3920,,,,,
,,"1538 Mill Sq, Alexander City, AL",,"Dollar General-Alexander City,AL",,,,,(256) 215-5511,-85.972485,32.936296,-85.972485,32.936296,,,,35010-2674,,,,,
,,"6278 Alabama 63, Alexander City, AL",,"Dollar General-Alexander City,AL",,,,,(256) 414-3086,-85.9426244,33.0229598,-85.9426244,33.0229598,,,,35771-7175,,,,,
,,"819 K St, Alexander City, AL",,"Dollar General-Alexander City,AL",,,,,(256) 409-1495,-85.945398,32.955069,-85.945398,32.955069,,,,35010-1325,,,,,
,,"118 Shelby Street, Andalusia, AL",,"Dollar General-Andalusia,AL",,,,,(334) 222-5456,-86.4617237,31.3196846,-86.4617237,31.3196846,,,,36420-2403,,,,,
,,"225 Church St, Andalusia, AL",,"Dollar General-Andalusia,AL",,,,,(334) 222-4642,-86.484979,31.308227,-86.484979,31.308227,,,,36420-3701,,,,,
,,"28513 US Hwy 29, Andalusia, AL",,"Dollar General-Andalusia,AL",,,,,(334) 388-2771,-86.4794552,31.3993549,-86.4794552,31.3993549,,,,36421-1315,,,,,
,,"925 River Fall St, Andalusia, AL",,"Dollar General-Andalusia,AL",,,,,(334) 222-1762,-86.495167,31.31455,-86.495167,31.31455,,,,36420-2557,,,,,
,,"1421 Golden Springs Rd, Anniston, AL",,"Dollar General-Anniston,AL",,,,,(256) 831-8356,-85.78598,33.627918,-85.78598,33.627918,,,,36207-6923,,,,,
,,"2363 Al Highway 202 Ste D, Anniston, AL",,"Dollar General-Anniston,AL",,,,,(256) 240-2939,-85.861063,33.647234,-85.861063,33.647234,,,,36201-5331,,,,,
