id,order_id,address_1,cached_lat,cached_lng,color,curbside_lat,curbside_lng,day_scheduled_for_YYMMDD,address_alias,local_time_window_start,local_time_window_end,local_time_window_start_2,local_time_window_end_2,service_time,EXT_FIELD_first_name,EXT_FIELD_last_name,EXT_FIELD_email,EXT_FIELD_phone,order_icon
,,"1235 Cherokee Rd, Alexander City, AL",32.930977,-85.948343,,32.930977,-85.948343,,"Dollar General-Alexander City,AL",,,,,3,,,,(256) 234-9012,
,,"1538 Mill Sq, Alexander City, AL",32.936296,-85.972485,,32.936296,-85.972485,3/17/2017,"Dollar General-Alexander City,AL",,,,,3,,,,(256) 215-5511,
,,"6278 Alabama 63, Alexander City, AL",33.0229598,-85.9426244,,33.0229598,-85.9426244,,"Dollar General-Alexander City,AL",,,,,3,,,,(256) 414-3086,
,,"819 K St, Alexander City, AL",32.955069,-85.945398,,32.955069,-85.945398,,"Dollar General-Alexander City,AL",,,,,3,,,,(256) 409-1495,
,,"118 Shelby Street, Andalusia, AL",31.3196846,-86.4617237,,31.3196846,-86.4617237,,"Dollar General-Andalusia,AL",,,,,3,,,,(334) 222-5456,
,,"225 Church St, Andalusia, AL",31.308227,-86.484979,,31.308227,-86.484979,,"Dollar General-Andalusia,AL",,,,,3,,,,(334) 222-4642,
,,"28513 US Hwy 29, Andalusia, AL",31.3993549,-86.4794552,,31.3993549,-86.4794552,,"Dollar General-Andalusia,AL",,,,,3,,,,(334) 388-2771,
,,"925 River Fall St, Andalusia, AL",31.31455,-86.495167,,31.31455,-86.495167,,"Dollar General-Andalusia,AL",,,,,3,,,,(334) 222-1762,
,,"1421 Golden Springs Rd, Anniston, AL",33.627918,-85.78598,,33.627918,-85.78598,,"Dollar General-Anniston,AL",,,,,3,,,,(256) 831-8356,
,,"2363 Al Highway 202 Ste D, Anniston, AL",33.647234,-85.861063,,33.647234,-85.861063,,"Dollar General-Anniston,AL",,,,,3,,,,(256) 240-2939,
,,"2605 Us Highway 431 N, Anniston, AL",33.715829,-85.86024,,33.715829,-85.86024,,"Dollar General-Anniston,AL",,,,,3,,,,(256) 820-1110,
,,"3115 Noble Street, Anniston, AL",33.686131,-85.829786,,33.686131,-85.829786,,"Dollar General-Anniston,AL",,,,,3,,,,(256) 231-4895,
,,"3440 Choccolocco Rd, Anniston, AL",33.649725,-85.72774,,33.649725,-85.72774,,"Dollar General-Anniston,AL",,,,,3,,,,(256) 238-6112,
,,"704 S Quintard Ave, Anniston, AL",33.638181,-85.825559,,33.638181,-85.825559,,"Dollar General-Anniston,AL",,,,,3,,,,(256) 238-6802,
,,"1031 A Hwy 72 E, Athens, AL",34.785661,-86.954561,,34.785661,-86.954561,,"Dollar General-Athens,AL",,,,,3,,,,(256) 771-1577,
,,"1210 N Jefferson St, Athens, AL",34.8151,-86.971845,,34.8151,-86.971845,,"Dollar General-Athens,AL",,,,,3,,,,(256) 216-0902,
,,"1233 E Pryor St, Athens, AL",34.806887,-86.950568,,34.806887,-86.950568,,"Dollar General-Athens,AL",,,,,3,,,,(256) 233-5496,
,,"12375 Us Highway 72, Athens, AL",34.792682,-87.100288,,34.792682,-87.100288,,"Dollar General-Athens,AL",,,,,3,,,,(256) 729-0601,
,,"15297 Pike Road, Athens, AL",34.7760221,-86.9216368,,34.7760221,-86.9216368,,"Dollar General-Athens,AL",,,,,3,,,,(256) 434-8277,
,,"16521 Al Highway 251, Athens, AL",34.824273,-86.904476,,34.824273,-86.904476,,"Dollar General-Athens,AL",,,,,3,,,,(256) 233-2138,
