Alias,Address,City,State,Zip,Group,Lat,Lng,Time,Time_window_start,Time_window_end,Custom_Data
THE8013RW7SDH ~ The Republic Hotel ~ REPID11,801 East Second Street,Big Lake,TX,76932,ToDelete,31.19141769,-101.4571457,30,8:00,17:00,"{ ""uid"": ""8694E0B2596E79E59AD93421F00689A6""}"
LUB7006-5SJUDW9 ~ Lubbock Breakfast House University ~ REPID11,2422 19th St,Lubbock,TX,79401,ToDelete Empty,33.57824326,-101.869812,30,8:00,17:00,"{ ""uid"": ""8694E0B2596E79E59AD93421F00689A6""}"
HIL1301 ~ Hilton Garden Inn - Midland ~ REPID11,1301 N Loop 250 W,Midland,TX,79706-5720,ToDelete Empty,,,30,8:00,17:00,
BAY3510 ~ Baymont Inn & Suites - Hobbs ~ REPID11,3510 N Central Dr,Hobbs,NM,88240-1157,ToDelete Empty,,,30,8:00,17:00,
INN2021 ~ Inn of the Concho's ~ REPID11,2021 N Bryant Blvd,San Angelo,TX,76903-3745,ToDelete Empty,,,30,8:00,17:00,
FAI1350 ~ Fairfield Inn ~ REPID11,1350 W Joe Harvey Blvd,Hobbs,NM,88240-0804,ToDelete Empty,,,30,8:00,17:00,
TRA2207 ~ Travelodge - Pecos ~ REPID11,2207 W 3rd St,Pecos,TX,79772-2648,ToDelete Empty,,,30,8:00,17:00,"{ ""uid"": ""8694E0B2596E79E59AD93421F00689A6""}"
PLA4108 ~ Plaza Inn ~ REPID11,4108 North Big Spring St,Midland,TX,79705,ToDelete Empty,,,30,8:00,17:00,
MIC200 ~ Microtel Inn & Suites ~ REPID11,200 W. Longview Rd,Midland,TX,79701,ToDelete Empty,,,30,8:00,17:00,
COM2600 ~ Comfort Suites - Carlsbad ~ REPID11,2600 West Pierce,Carlsbad,NM,88220,ToDelete Empty,,,30,8:00,17:00,
BES4600 ~ Best Western Sante Fe ~ REPID11,4600 I-40 East,Amarillo,TX,79103,ToDelete Empty,,,30,8:00,17:00,
LOS2103 ~ Los Cerritos Mexican Kitchen ~ REPID11,2103 N Main St,Roswell,NM,88201,ToDelete Empty,,,30,8:00,17:00,
HOM7221 ~ Homewood Suites - Odessa ~ REPID11,7221 Tres Hermans Blvd,Odessa,TX,79765,ToDelete Empty,,,30,8:00,17:00,
LAQ4020 ~ La Quinta - Carlsbad ~ REPID11,4020 National Parks Hwy,Carlsbad,NM,88220,ToDelete Empty,,,30,8:00,17:00,
QUA300 ~ Quality Inn - Big Springs ~ REPID11,300 Tulane,Big Springs,TX,79720,ToDelete Empty,,,30,8:00,17:00,
TTU9 ~ TTU- The Fresh Plate at Bledsoe/Gordon ~ REPID11,9th and Akron,Lubbock,TX,79409,ToDelete Empty,,,30,8:00,17:00,"{ ""uid"": ""7DD2ECE2957DFF2269D32F008FF1085A""}"
TTU17 ~ TTU-Smart Choices at Horn/Knapp ~ REPID11,17th and Akron,Lubbock,TX,79409,ToDelete Empty,,,30,8:00,17:00,
TTU18 ~ TTU -Hulen Clement Dining ~ REPID11,3003 18th (18th and Flint),Lubbock,TX,79409,ToDelete Empty,,,30,8:00,17:00,"{ ""uid"": ""7DD2ECE2957DFF2269D32F008FF1085A"" }"
SLI5508 ~ Slim Chickens - Lubbock ~ REPID11,5508 4th St,Lubbock,TX,79416,ToDelete Empty,,,30,8:00,17:00,"{ ""uid"": ""7DD2ECE2957DFF2269D32F008FF1085A"" }"
LAB205 ~ La Bonita ~ REPID11,205 S. Frontage Rd,Pecos,TX,79772,ToDelete Empty,,,30,8:00,17:00,
BES2115 ~ Best Western Plus ~ REPID11,2115 I-10 West,Fort Stockton,TX,79735,ToDelete Empty,,,30,8:00,17:00,
RIV800 ~ Riverview ~ REPID11,800 W. Ave. D,San Angelo,TX,76901,ToDelete Empty,,,30,8:00,17:00,
FAI2525S ~ Fairfield Inn & Suites-Carlsbad ~ REPID11,2525 S Canal St,Carlsbad,NM,88220-6521,ToDelete Empty,,,30,8:00,17:00,
HOL3620 ~ Holiday Inn - Roswell ~ REPID11,3620 N Main St,Roswell,NM,88201-9802,ToDelete Empty,,,30,8:00,17:00,
BES7001 ~ Best Western Plus - Odessa ~ REPID11,7001 Tres Hermanas Blvd,Odessa,TX,79765-8659,ToDelete Empty,,,30,8:00,17:00,
HOL8231 ~ Holiday Inn West Medical ~ REPID11,8231 W Amarillo Blvd,Amarillo,TX,79124-2106,ToDelete,35.18963,-101.93058,30,8:00,17:00,
AMB3100 ~ Wyndham Garden ~ REPID11,3100 I 40 W,Amarillo,TX,79102,ToDelete,35.19576,-101.87084,30,8:00,17:00,
COM2707 ~ Comfort Suites - Hobbs ~ REPID11,2708 Scenic Dr,Hobbs,NM,88240-1274,ToDelete,32.75249,-103.17066,30,8:00,17:00,
COM4706 ~ Comfort Suites - Midland ~ REPID11,4706 N Garfield St,Midland,TX,79705-2656,ToDelete Empty,,,30,8:00,17:00,
UNI5807 ~ United Supermarket #529 ~ REPID11,5807 SW 45th St,Amarillo,TX,79109,ToDelete Empty,,,30,8:00,17:00,
RAM2800 ~ Lone Star Inn ~ REPID11,2800 W Highway 90,Alpine,TX,79830-4132,ToDelete Empty,,,30,8:00,17:00,
UNI1701 ~ United Supermarkets ~ REPID11,1701 5Oth,Lubbock,TX,79412,ToDelete Empty,,,30,8:00,17:00,
RES6700 ~ Residence Inn - Amarillo ~ REPID11,6700 I-40 W,Amarillo,TX,79106,ToDelete Empty,,,30,8:00,17:00,
RES5509 ~ Residence Inn - Midland ~ REPID11,5509 Deauville,Midland,TX,79706-2900,ToDelete Empty,,,30,8:00,17:00,
